date,city,rainfall_mm,temperature
2025-12-29,Junagadh,0.0,23.1
2025-12-30,Junagadh,0.0,21.9
2025-12-23,Kadapa,0.0,23.2
2025-12-24,Kadapa,0.0,22.5
2025-12-25,Kadapa,0.0,21.6
2025-12-26,Kadapa,0.0,23.5
2025-12-27,Kadapa,0.0,22.0
2025-12-28,Kadapa,0.0,22.0
2025-12-29,Kadapa,0.0,21.9
2025-12-30,Kadapa,0.0,22.6
2025-12-23,Kalyan,0.0,24.6
2025-12-24,Kalyan,0.0,24.9
2025-12-25,Kalyan,0.0,23.9
2025-12-26,Kalyan,0.0,23.9
2025-12-27,Kalyan,0.0,24.0
2025-12-28,Kalyan,0.0,23.8
2025-12-29,Kalyan,0.0,23.4
2025-12-30,Kalyan,0.0,23.3
2025-12-23,Kanpur,0.0,15.8
2025-12-24,Kanpur,0.0,16.7
2025-12-25,Kanpur,0.0,14.7
2025-12-26,Kanpur,0.0,14.8
2025-12-27,Kanpur,0.0,15.1
2025-12-28,Kanpur,0.0,15.0
2025-12-29,Kanpur,0.0,13.5
2025-12-30,Kanpur,0.0,13.6
2025-12-23,Kanyakumari,0.0,28.5
2025-12-24,Kanyakumari,0.0,28.4
2025-12-25,Kanyakumari,0.0,27.9
2025-12-26,Kanyakumari,0.1,28.2
2025-12-27,Kanyakumari,0.0,27.9
2025-12-28,Kanyakumari,0.0,28.5
2025-12-29,Kanyakumari,0.0,28.5
2025-12-30,Kanyakumari,0.0,28.4
2025-12-23,Karimnagar,0.0,19.4
2025-12-24,Karimnagar,0.0,18.8
2025-12-25,Karimnagar,0.0,19.3
2025-12-26,Karimnagar,0.0,19.4
